# t[s]	v[m/s]
20.500	75.351
20.600	81.022
20.700	76.236
20.800	65.050
20.900	80.737
21.000	76.818
21.100	82.227
21.200	87.128
21.300	83.537
21.400	96.719
21.500	78.940
21.600	83.715
21.700	67.315
21.800	61.094
21.900	72.022
22.000	96.321
22.100	73.003
22.200	68.276
22.300	66.732
22.400	92.101
22.500	86.009
22.600	97.285
22.700	97.563
22.800	97.214
22.900	84.026
23.000	95.779
23.100	98.089
23.200	77.658
23.300	91.410
23.400	85.575
23.500	79.451
23.600	82.142
23.700	93.271
23.800	88.605
23.900	92.496
24.000	78.804
24.100	87.910
24.200	98.274
24.300	83.593
24.400	86.836
24.500	84.396
24.600	109.786
24.700	98.901
24.800	99.576
24.900	114.120
25.000	96.517
25.100	91.631
25.200	95.857
25.300	81.974
25.400	112.083
25.500	80.905
25.600	91.630
25.700	102.879
25.800	86.351
25.900	105.115
26.000	108.014
26.100	88.601
26.200	104.257
26.300	108.564
26.400	101.279
26.500	100.540
26.600	90.004
26.700	101.754
26.800	100.771
26.900	97.042
27.000	95.253
27.100	93.031
27.200	102.938
27.300	107.293
27.400	98.639
27.500	92.133
27.600	99.040
27.700	121.509
27.800	101.736
27.900	99.506
28.000	97.788
28.100	114.350
28.200	118.931
28.300	114.499
28.400	102.541
28.500	106.697
28.600	97.247
28.700	113.247
28.800	106.234
28.900	99.154
29.000	98.182
29.100	97.726
29.200	99.066
29.300	114.088
29.400	122.046
29.500	106.893
29.600	104.345
29.700	107.877
29.800	96.281
29.900	111.162
30.000	97.448
30.100	121.056
30.200	127.944
30.300	112.007
30.400	115.038
30.500	101.618
30.600	96.602
30.700	102.046
30.800	109.393
30.900	120.262
31.000	130.385
31.100	144.140
31.200	114.946
31.300	97.031
31.400	107.036
31.500	128.017
31.600	98.815
31.700	120.665
31.800	92.511
31.900	108.223
32.000	102.122
32.100	110.957
32.200	127.391
32.300	106.798
32.400	122.968
32.500	111.612
32.600	130.836
32.700	115.434
32.800	124.460
32.900	122.829
33.000	100.569
33.100	110.239
33.200	123.002
33.300	125.679
33.400	111.883
33.500	107.203
33.600	120.318
33.700	137.457
33.800	114.715
33.900	127.943
34.000	123.191
34.100	140.015
34.200	111.201
34.300	110.055
34.400	121.837
34.500	132.001
34.600	146.188
34.700	124.307
34.800	123.240
34.900	106.422
35.000	123.189
35.100	123.290
35.200	126.915
35.300	140.182
35.400	122.784
35.500	134.264
35.600	127.278
35.700	121.819
35.800	115.855
35.900	123.791
36.000	113.068
36.100	119.228
36.200	121.337
36.300	120.856
36.400	155.974
36.500	125.984
36.600	128.343
36.700	115.272
36.800	127.943
36.900	137.500
37.000	142.531
37.100	137.462
37.200	137.588
37.300	139.100
37.400	125.288
37.500	130.814
37.600	122.893
37.700	135.257
37.800	130.841
37.900	130.485
38.000	133.926
38.100	140.498
38.200	130.042
38.300	144.101
38.400	130.557
38.500	146.205
38.600	140.988
38.700	128.993
38.800	138.493
38.900	143.520
39.000	132.753
39.100	148.101
39.200	134.077
39.300	164.690
39.400	155.153
39.500	144.818
39.600	132.240
39.700	150.197
39.800	144.766
39.900	141.525
40.000	125.180
40.100	141.694
40.200	156.577
40.300	133.540
40.400	142.523
40.500	143.537
40.600	144.283
40.700	134.056
40.800	164.011
40.900	148.158
41.000	145.613
41.100	140.313
41.200	139.158
41.300	133.070
41.400	150.321
41.500	146.503
41.600	148.499
41.700	147.103
41.800	149.663
41.900	153.808
42.000	143.620
42.100	137.032
42.200	147.123
42.300	143.462
42.400	138.893
42.500	163.347
42.600	156.563
42.700	145.582
42.800	147.703
42.900	133.860
43.000	149.649
43.100	146.468
43.200	160.726
43.300	159.497
43.400	142.056
43.500	148.814
43.600	155.561
43.700	143.788
43.800	166.895
43.900	139.292
44.000	143.931
44.100	147.322
44.200	167.023
44.300	155.044
44.400	147.962
44.500	151.855
44.600	147.389
44.700	157.909
44.800	172.877
44.900	145.545
45.000	146.879
45.100	163.316
45.200	150.826
45.300	142.550
45.400	156.541
45.500	170.505
45.600	144.379
45.700	167.982
45.800	144.818
45.900	146.268
46.000	160.399
46.100	163.837
46.200	162.439
46.300	149.930
46.400	147.206
46.500	146.358
46.600	157.121
46.700	157.138
46.800	161.116
46.900	169.396
47.000	146.011
47.100	156.331
47.200	137.857
47.300	154.509
47.400	141.513
47.500	160.557
47.600	156.529
47.700	168.433
47.800	158.376
47.900	154.914
48.000	161.053
48.100	170.301
48.200	159.576
48.300	140.229
48.400	167.910
48.500	164.744
48.600	171.513
48.700	157.887
48.800	161.298
48.900	149.124
49.000	161.196
49.100	166.401
49.200	150.482
49.300	161.095
49.400	188.327
49.500	158.805
49.600	144.651
49.700	156.891
49.800	157.151
49.900	153.436
50.000	145.850
50.100	160.721
50.200	180.050
50.300	169.716
50.400	164.588
50.500	160.313
50.600	155.047
50.700	168.409
50.800	171.319
50.900	158.105
51.000	181.961
51.100	172.071
51.200	157.523
51.300	160.239
51.400	155.789
51.500	162.926
51.600	168.625
51.700	161.747
51.800	183.228
51.900	173.194
52.000	155.395
52.100	171.388
52.200	167.870
52.300	169.002
52.400	175.452
52.500	178.507
52.600	173.230
52.700	156.407
52.800	160.340
52.900	150.217
53.000	163.181
53.100	169.139
53.200	168.027
53.300	172.041
53.400	165.482
53.500	171.137
53.600	155.017
53.700	163.322
53.800	155.800
53.900	168.627
54.000	171.774
54.100	174.803
54.200	175.107
54.300	175.734
54.400	182.618
54.500	171.042
54.600	177.392
54.700	170.285
54.800	160.460
54.900	152.652
55.000	170.660
55.100	173.337
55.200	178.573
55.300	167.988
55.400	179.068
55.500	169.957
55.600	176.915
55.700	177.201
55.800	189.462
55.900	158.820
56.000	154.659
56.100	187.723
56.200	178.084
56.300	183.276
56.400	174.946
56.500	176.556
56.600	170.735
56.700	179.458
56.800	169.605
56.900	168.384
57.000	178.984
57.100	160.245
57.200	172.942
57.300	179.163
57.400	180.672
57.500	186.413
57.600	179.438
57.700	183.098
57.800	158.734
57.900	172.835
58.000	196.559
58.100	183.594
58.200	181.467
58.300	192.517
58.400	193.984
58.500	185.106
58.600	185.730
58.700	179.454
58.800	191.793
58.900	173.630
59.000	193.073
59.100	170.271
59.200	170.224
59.300	184.676
59.400	170.527
59.500	189.855
59.600	172.697
59.700	182.401
59.800	185.070
59.900	180.426
60.000	180.984
60.100	195.426
60.200	190.148
60.300	181.438
60.400	187.202
60.500	185.577
60.600	171.281
60.700	169.019
60.800	196.609
60.900	179.938
61.000	183.951
61.100	187.263
61.200	169.182
61.300	173.144
61.400	174.013
61.500	185.626
61.600	189.056
61.700	193.315
61.800	171.310
61.900	179.981
62.000	187.135
62.100	177.992
62.200	174.867
62.300	183.836
62.400	169.999
62.500	181.258
62.600	190.058
62.700	182.753
62.800	178.686
62.900	182.241
63.000	186.025
63.100	175.434
63.200	184.677
63.300	195.507
63.400	179.560
63.500	172.753
63.600	189.977
63.700	195.938
63.800	212.228
63.900	177.572
64.000	197.760
64.100	190.208
64.200	177.174
64.300	180.489
64.400	193.155
64.500	190.016
64.600	169.302
64.700	201.677
64.800	158.907
64.900	183.917
65.000	174.879
65.100	165.470
65.200	186.249
65.300	182.793
65.400	194.259
65.500	184.014
65.600	190.139
65.700	192.470
65.800	165.788
65.900	186.355
66.000	191.857
66.100	191.133
66.200	189.212
66.300	191.080
66.400	180.953
66.500	187.740
66.600	186.702
66.700	167.838
66.800	187.477
66.900	185.442
67.000	192.059
67.100	169.819
67.200	177.879
67.300	207.872
67.400	183.495
67.500	178.407
67.600	168.757
67.700	200.484
67.800	171.410
67.900	188.910
68.000	181.816
68.100	179.092
68.200	173.741
68.300	173.047
68.400	189.334
68.500	184.893
68.600	189.893
68.700	190.306
68.800	187.082
68.900	195.864
69.000	206.748
69.100	193.481
69.200	186.275
69.300	202.114
69.400	194.418
69.500	198.563
69.600	196.520
69.700	185.355
69.800	183.452
69.900	182.814
70.000	193.253
70.100	203.671
70.200	198.012
70.300	195.310
70.400	179.952
70.500	195.191
70.600	196.047
70.700	187.831
70.800	186.552
70.900	196.041
71.000	212.931
71.100	206.601
71.200	197.706
71.300	203.446
71.400	190.646
71.500	179.088
71.600	183.192
71.700	175.960
71.800	207.946
71.900	204.112
72.000	196.528
72.100	176.266
72.200	187.361
72.300	198.677
72.400	188.889
72.500	179.609
72.600	217.720
72.700	195.749
72.800	181.554
72.900	191.718
73.000	172.405
73.100	190.800
73.200	198.917
73.300	196.208
73.400	196.212
73.500	182.453
73.600	191.891
73.700	202.898
73.800	205.594
73.900	177.348
74.000	193.746
74.100	194.111
74.200	195.780
74.300	172.440
74.400	181.278
74.500	192.838
74.600	193.999
74.700	188.997
74.800	178.934
74.900	191.469
75.000	194.327
75.100	194.933
75.200	200.565
75.300	186.809
75.400	217.268
75.500	180.047
75.600	212.532
75.700	196.866
75.800	193.983
75.900	187.058
76.000	182.612
76.100	184.046
76.200	199.294
76.300	200.971
76.400	200.687
76.500	188.907
76.600	189.877
76.700	209.515
76.800	182.785
76.900	197.372
77.000	202.836
77.100	209.595
77.200	190.969
77.300	200.892
77.400	198.000
77.500	200.458
77.600	190.102
77.700	201.044
77.800	180.244
77.900	200.889
78.000	193.833
78.100	191.749
78.200	199.496
78.300	205.079
78.400	197.139
78.500	200.624
78.600	200.990
78.700	198.106
78.800	190.736
78.900	195.579
79.000	198.149
79.100	188.254
79.200	183.909
79.300	202.817
79.400	191.118
79.500	204.449
79.600	195.701
79.700	197.066
79.800	175.142
79.900	188.640
80.000	202.655
80.100	188.030
80.200	202.574
80.300	190.865
80.400	191.780
80.500	197.037
80.600	208.088
80.700	194.948
80.800	182.900
80.900	199.359
81.000	203.554
81.100	204.402
81.200	206.415
81.300	200.946
81.400	189.057
81.500	174.846
81.600	202.170
81.700	192.467
81.800	190.120
81.900	211.643
82.000	194.268
82.100	208.382
82.200	184.516
82.300	219.695
82.400	196.656
82.500	191.318
82.600	189.494
82.700	186.663
82.800	205.643
82.900	201.222
83.000	212.236
83.100	171.438
83.200	179.633
83.300	189.060
83.400	193.400
83.500	190.727
83.600	205.582
83.700	205.585
83.800	194.047
83.900	215.154
84.000	209.134
84.100	196.485
84.200	195.101
84.300	196.036
84.400	183.127
84.500	206.195
84.600	218.351
84.700	198.253
84.800	204.200
84.900	218.055
85.000	192.318
85.100	203.591
85.200	194.324
85.300	179.455
85.400	209.351
85.500	199.023
85.600	192.410
85.700	212.613
85.800	198.736
85.900	200.756
